htid,year,bib_fmt,stratum,tier,ef_genre,title,description
mdp.39015000525934,1962,BK,book,book,doc,The guns of August.,
mdp.39015036903246,1962,BK,book,book,doc,The guns of August.,
mdp.39015015195384,1962,BK,book,book,doc,The guns of August.,
pst.000027555163,1962,BK,book,book,doc,The guns of August.,
mdp.39015008727912,1972,BK,book,book_fiction,"doc,fic",The guns of Avalon / Roger Zelazny.,
uc1.b2857453,1971,BK,book,book,doc,The guns of Carrar. Translated by George Tabori.,
osu.32435064814734,1956,BK,book,book_fiction,"doc,fic",The guns of Fort Petticoat : a Gold Medal original / by C. William Harrison ; cover painting by Frank McCarthy.,
uva.x004925162,1958,BK,book,book,"doc,bib",The guns of Gettysburg.,
uva.x000672430,1968,BK,book,book,"doc,bib","The guns of Harpers Ferry, by Stuart E. Brown Jr.",
uc1.b4385410,1978,BK,book,book,"doc,bib","The guns of Lattimer : the true story of a massacre and a trial, August 1897-March 1898 / by Michael Novak.",
wu.89058503418,1978,BK,book,book,"doc,bib","The guns of Lattimer : the true story of a massacre and a trial, August 1897-March 1898 / by Michael Novak.",
uc1.b4095529,1957,BK,book,book_fiction,"doc,fic",The guns of Navarone.,
mdp.39015010396730,1957,BK,book,book_fiction,"doc,fic",The guns of Navarone.,
uiug.30112050048310,1959,BK,book,book,doc,The gunsmith / by Henry J. Kauffman.,
mdp.39015042006760,1973,BK,book,book_fiction,"doc,fic,gf2014026339",The harpoon gun / Translated by Barbara Bray.,
umn.319510014496149,1972,BK,book,book,"doc,bib","The horse, the gun and the piece of property : changing images of the TV western.",
uc1.b3566858,1975,BK,book,book,"doc,bib","The horse, the gun, and the piece of property : changing images of the TV Western / by Ralph Brauer, with Donna Brauer.",
chi.18377674,1970,BK,book,book_unknown_genre,,"The hunter's world, by Charles F. Waterman. Photographers: Erwin A. Bauer and others. Photography compiled and edited by Bill Browning.",c.1
uva.x000984924,1961,BK,book,book,doc,The hunting gun.,
iau.31858025171715,1961,BK,book,book,doc,The hunting gun.,
umn.31951000786471j,1948,BK,book,book,doc,"The hunting rifle ; design, selection, ballistics, marksmanship.",
hvd.32044038180352,1962,BK,book,book,doc,The identification of firearms and forensic ballistics / Sir Gerald Burrard.,
uc1.$b19783,1935,BK,book,book,doc,"The identification of firearms from ammunition fired therein, with an analysis of legal authorities, by Jack Disbrow Gunther ... and Charles O. Gunther ...",
mdp.49015003045813,1980,BK,book,book,doc,The illustrated encyclopedia of pistols & revolvers : an illustrated history of hand guns from the sixteenth century to the present day / by Frederick Myatt.,
uc1.$b557714,1954,BK,book,book,doc,The life and times of General Two-Gun Cohen.,
uva.x000303383,1938,BK,book,book,doc,The long rifle,
mdp.39015065801956,1932,BK,book,book_fiction,"doc,fic",The long rifle ...,
inu.39000002211469,1980,BK,book,book,doc,The long rifle / by Robert Lagemann and Albert C. Manucy ; with drawings by Daniel D. Feaser.,
mdp.39015030857976,1932,BK,book,book,doc,The long rifle.,
uc1.b3727419,1932,BK,book,book,doc,The long rifle.,
mdp.39015056504171,1973,BK,book,book_fiction,"doc,fic",The luminous revolver / Tom McKeown.,
cub.u183021684916,1943,BK,book,book_fiction,"doc,fic",The man behind the gun / by David Harmon and Ronald MacDougall.,
mdp.39015026642820,1977,BK,book,book,"doc,bib,bio","The man behind the guns : a biography of General Henry Jackson Hunt, Chief of Artillery, Army of the Potomac / by Edward G. Longacre.",
uc1.32106014452145,1965,BK,book,book_fiction,"doc,fic",The man with the golden gun,
uva.x001541231,1941,BK,book,book,doc,"The matchlock gun,",
uc1.b4087514,1941,BK,book,book,doc,"The matchlock gun,",copy 2
uiug.30112101464615,1953,BK,book,book,doc,The modern Colt guide.,
umn.31951000959311u,1941,BK,book,book,doc,The modern gunsmith ; a guide for the amateur and professional gunsmith in the design and construction of firearms.,v.1
umn.31951000959312s,1941,BK,book,book,doc,The modern gunsmith ; a guide for the amateur and professional gunsmith in the design and construction of firearms.,v.2
wu.89100015437,1934,BK,book,book,"doc,bib","The modern gunsmith; a guide for the amateur and professional gunsmith in the design and construction of firearms, with practical suggestions for all who like guns, by James Virgil Howe.",v.1
uiug.30112050047783,1934,BK,book,book,"doc,bib","The modern gunsmith; a guide for the amateur and professional gunsmith in the design and construction of firearms, with practical suggestions for all who like guns, by James Virgil Howe.",v.2
uiug.30112023517755,1961,BK,book,book,doc,The modern shotgun.,v.1(1961)
uiug.30112023517763,1961,BK,book,book,doc,The modern shotgun.,v.2(1961)
uiug.30112039477523,1958,BK,book,book,doc,The muzzle-loading cap lock rifle / by Ned H. Roberts.,
mdp.39015011191411,1942,BK,book,book,doc,The muzzle-loading rifle : then and now / by Walter M. Cline.,
nyp.33433038486076,1957,BK,book,book,doc,The new Lucian Cary on guns.,
coo.31924030705739,1951,BK,book,book_unknown_genre,,The new Official gun book,
nyp.33433102989468,1955,BK,book,book_unknown_genre,,"The new official gun book. Charles R. Jacobs, editor; Jack Henninger & Robert Hutton, associate editors.",1955
mdp.39015064134425,1960,BK,book,book,doc,The pictorial history of the underhammer gun / Herschel C. Logan.,
mdp.39015020821891,1958,BK,book,book,doc,The pistol.,
pst.000023005587,1973,BK,book,book,doc,The police shotgun manual / by Roger H. Robinson.,
uc1.31822005466081,1966,BK,book,book,"doc,bib","The revolver, 1865-1888",
mdp.39015011400978,1967,BK,book,book,doc,The rifle & the hound in Ceylon.,
pst.000030657526,1978,BK,book,book,doc,The rifle book / by Jack O'Connor.,
uc1.b3376604,1976,BK,book,book,"doc,bib",The shotgun behind the door : liberalism and the problem of political obligation / Philip Abbott.,
cub.p101342907015,1963,BK,book,book_unknown_genre,,The silent guns.,
mdp.39015046834233,1971,BK,book,book,"doc,bib",The six-gun mystique / by John G. Cawelti.,
mdp.39015031606745,1971,BK,book,book,"doc,bib",The six-gun mystique / by John G. Cawelti.,
mdp.39015020742931,1971,BK,book,book,"doc,bib",The six-gun mystique / by John G. Cawelti.,
inu.39000005910109,1971,BK,book,book,"doc,bib",The six-gun mystique / by John G. Cawelti.,
mdp.39015002687781,1975,BK,book,book,"doc,bib",The social history of the machine gun / John Ellis.,
mdp.39076007036739,1975,BK,book,book,"doc,bib",The social history of the machine gun / John Ellis.,
mdp.39015030705761,1937,BK,book,book,doc,"The square peg, or, The gun fella / by John Masefield.",
uc1.$b102250,1937,BK,book,book,doc,"The square peg, or, The gun fella / by John Masefield.",
mdp.35128001439262,1953,BK,book,book,"doc,bib,bio",The story of Colt's revolver; the biography of Col. Samuel Colt.,
uc1.b4237007,1959,BK,book,book,doc,"The tanks; the history of the Royal Tank Regiment and its predecessors, Heavy Branch, Machine-Gun Corps, Tank Corps, and Royal Tank Corps, 1914-1945.",v.2
pst.000012358335,1979,BK,book,book,"doc,bib",The treasury of sporting guns / by Charles F. Waterman ; special photography by J. Barry O'Rourke and Robert J. Kligge.,
mdp.39015023186169,1962,BK,book,book,"doc,bib","The treasury of the gun / Technical consultation by Howard L. Blackmore, Claude Blair [and] William Reid. [Special photography by Arie de Zanger]",
coo.31924002304818,1949,BK,book,book,doc,The utilization of the older worker in industry; a case study of the older worker at the Ithaca Gun Company.,
uc1.$b236121,1936,BK,book,book_fiction,"doc,fic",They gave him a gun / by William Joyce Cowen.,
mdp.39015000619265,1936,BK,book,book_fiction,"doc,fic",This gun for hire.,
wu.89059402404,1965,BK,book,book,doc,"This they remembered : the history of the four companies and those in other companies who went from Oglethorpe County to  serve in the War Between the States; the Gilmer Blues, the Oglethorpe Rifles, the Tom Cobb Infantry, the Echols Artillery / Georgia Division, United Daughters of the Confederacy.",
uiug.30112101468889,1952,BK,book,book,doc,Training gun dogs to retrieve; with foreword by Joe Stetson. Illus. by Ernest H. Hart.,
mdp.39015031489944,1971,BK,book,book,"doc,bib",Turning the guns around; notes on the GI movement / [by] Larry G. Waterhouse and Mariann G. Wizard.,
uc1.31822033774068,1968,BK,book,book,doc,"Turquoise & Six-guns : the story of Cerrillos, New Mexico / by Marc Simmons",
uc1.b4505452,1968,BK,book,book,"doc,bib","Two Guns, Arizona.",
osu.32435067916981,1936,BK,book,book_fiction,"doc,fic",Two-gun Montana / by Tex Reynolds ; illustrated by Henry E. Vallely.,
nyp.33433040256582,1946,BK,book,book_unknown_genre,,Two-gun Rio kid / Don Davis.,
coo.31924027499734,1952,BK,book,book_unknown_genre,,Two-gun journalism in New Orleans.,
mdp.39015002646449,1972,BK,book,book,"doc,bib",Under the guns; New York: 1775-1776.,
uc1.b4437445,1972,BK,book,book,"doc,bib",Under the guns; New York: 1775-1776.,
mdp.39015021265643,1960,BK,book,book,"doc,1411628",Underhammer guns / With a foreword by Hugh Smiley.,
mdp.39015024576483,1966,BK,book,book,doc,"War without guns; American civilians in rural Vietnam / [by] George K. Tanham with W. Robert Warne, Earl J. Young, and William A. Nighswonger.",
uc1.b4217849,1966,BK,book,book,doc,"War without guns; American civilians in rural Vietnam / [by] George K. Tanham with W. Robert Warne, Earl J. Young, and William A. Nighswonger.",
wu.89058523770,1977,BK,book,book,doc,"We were first, we heard the guns at Wewak : Eglin Field WWII WACs / by ""Cyclone"" Forbes Dahlgren.",
mdp.39015034640980,1965,BK,book,book,"doc,bib",When the guns roared; world aspects of the American Civil War.,
umn.31951p012109241,1952,BK,book,book,"doc,bib",Winchester : the gun that won the West.,
coo.31924090598735,1964,BK,book,book,doc,"Wing & shot, gun dog training, by Robert G. Wehle.",
uc1.$b397581,1967,BK,book,book,doc,With revolvers aimed ... finger bowls. Presented by William S. Burroughs. Translated by Mary Beach.,
mdp.39015070556272,1951,BK,book,book,doc,Woodchucks and woodchuck rifles.,
uc1.31158004670021,1958,BK,book,book,doc,World's guns and other weapons. Editor-in-chief: Philip McFarland; executive editor: Burton Brenner; associate editors: Jack Karnes [and others].,
mdp.39015026262355,1935,BK,book,book,doc,Yankee arms maker; the incredible career of Samuel Colt / by Jack Rohan.,
uc1.$b27080,1935,BK,book,book,doc,Yankee arms maker; the incredible career of Samuel Colt / by Jack Rohan.,
uiug.30112039432353,1955,BK,book,book,doc,Your shotgun vs. you / Russ Elliiott ; illustrated by Lee Davis.,
ufl.31262100711497,1936,SE,serial,serial,,American rifleman.,v.84(1936)
mdp.39015080369732,1940,SE,serial,serial,,American rifleman.,v.88 no.1 1940 Jan
mdp.39015080369740,1940,SE,serial,serial,,American rifleman.,v.88 no.11 1940 Nov
iau.31858028104754,1944,SE,serial,serial,,American rifleman.,v.92 Jan.-June 1944
iau.31858028104762,1944,SE,serial,serial,,American rifleman.,v.92 July-Dec. 1944
mdp.39015073139910,1944,SE,serial,serial,,American rifleman.,v.92 1944
iau.31858028104770,1945,SE,serial,serial,,American rifleman.,v.93 Jan.-May 1945
iau.31858028104788,1945,SE,serial,serial,,American rifleman.,v.93  Oct. 1945
mdp.39015073139936,1945,SE,serial,serial,,American rifleman.,v.93 1945
iau.31858028104796,1946,SE,serial,serial,,American rifleman.,v.94 Apr.-June 1946
iau.31858028104804,1946,SE,serial,serial,,American rifleman.,v.94 July-Dec. 1946
iau.31858028104812,1947,SE,serial,serial,,American rifleman.,v.95 Jan.-June 1947
iau.31858028104820,1947,SE,serial,serial,,American rifleman.,v.95 July-Dec. 1947
iau.31858028104838,1948,SE,serial,serial,,American rifleman.,v.96 Jan.-June 1948
iau.31858028104846,1948,SE,serial,serial,,American rifleman.,v.96 July-Dec. 1948
iau.31858028104853,1949,SE,serial,serial,,American rifleman.,v.97 Jan.-June 1949
iau.31858028104861,1949,SE,serial,serial,,American rifleman.,v.97 July-Dec. 1949
iau.31858028104895,1951,SE,serial,serial,,American rifleman.,v.99 Jan.-June 1951
iau.31858028104903,1951,SE,serial,serial,,American rifleman.,v.99 Sept.-Nov. 1951
iau.31858028104911,1952,SE,serial,serial,,American rifleman.,v.100 Jan.-June 1952
iau.31858028104929,1952,SE,serial,serial,,American rifleman.,v.100 July-Dec. 1952
iau.31858028104952,1954,SE,serial,serial,,American rifleman.,v.102 Jan.-June 1954
iau.31858028104960,1954,SE,serial,serial,,American rifleman.,v.102 July-Dec. 1954
iau.31858028104978,1955,SE,serial,serial,,American rifleman.,v.103 Jan.-June 1955
iau.31858028104986,1955,SE,serial,serial,,American rifleman.,v.103 July-Dec. 1955
iau.31858028104994,1956,SE,serial,serial,,American rifleman.,v.104 Jan.-June 1956
iau.31858028105009,1956,SE,serial,serial,,American rifleman.,v.104 July-Dec. 1956
mdp.39015080370029,1957,SE,serial,serial,,American rifleman.,v.105 no.1 1957 Jan
mdp.39015080370094,1957,SE,serial,serial,,American rifleman.,v.105 no.2 1957 Feb
iau.31858028105058,1959,SE,serial,serial,,American rifleman.,v.107 Jan.-June 1959
iau.31858028105066,1959,SE,serial,serial,,American rifleman.,v.107 July-Dec. 1959
mdp.39015080370078,1959,SE,serial,serial,,American rifleman.,v.107 no.6 1959 Jun
iau.31858028105074,1960,SE,serial,serial,,American rifleman.,v.108 Jan.-June 1960
iau.31858028105082,1960,SE,serial,serial,,American rifleman.,v.108 July-Dec. 1960
mdp.39015080370037,1960,SE,serial,serial,,American rifleman.,v.108 no.10 1960 Oct
mdp.39015080370227,1960,SE,serial,serial,,American rifleman.,v.108 no.11 1960 Nov
coo.31924067335814,1960,SE,serial,serial,,American rifleman.,v.108 1960:Jan.-May
coo.31924067335806,1960,SE,serial,serial,,American rifleman.,v.108 1960:June-Dec.
iau.31858028105090,1961,SE,serial,serial,,American rifleman.,v.109 Jan.-June 1961
iau.31858028105108,1961,SE,serial,serial,,American rifleman.,v.109 July-Dec. 1961
coo.31924067335475,1961,SE,serial,serial,,American rifleman.,v.109 1961:July-Dec.
coo.31924067335384,1961,SE,serial,serial,,American rifleman.,v.109 1961:Jan.-June
iau.31858028105116,1962,SE,serial,serial,,American rifleman.,v.110 Jan.-June 1962
iau.31858028105124,1962,SE,serial,serial,,American rifleman.,v.110 July-Dec. 1962
coo.31924067335467,1962,SE,serial,serial,,American rifleman.,v.110 1962:Jan.-June
iau.31858028105132,1963,SE,serial,serial,,American rifleman.,v.111 Jan.-June 1963
iau.31858028105140,1963,SE,serial,serial,,American rifleman.,v.111 July-Dec. 1963
coo.31924067335624,1963,SE,serial,serial,,American rifleman.,v.111 1963:Jan.-June
coo.31924067335616,1963,SE,serial,serial,,American rifleman.,v.111 1963:July-Dec.
mdp.39015080369906,1966,SE,serial,serial,,American rifleman.,v.114 no.2 1966 Feb
mdp.39015080369914,1966,SE,serial,serial,,American rifleman.,v.114 no.5 1966 May
mdp.39015080369922,1966,SE,serial,serial,,American rifleman.,v.114 no.7 1966 Jul
mdp.39015080369930,1966,SE,serial,serial,,American rifleman.,v.114 no.9 1966 Sep
osu.32435023367253,1931,SE,serial,serial,,Field and stream.,v.36June-Oct 1931
osu.32435023367238,1932,SE,serial,serial,,Field and stream.,v.37May-Oct 1932
iau.31858027038987,1932,SE,serial,serial,,Field and stream.,v.36 May 1931-Apr. 1932
mdp.39015081203948,1932,SE,serial,serial,,Field and stream.,v.36 1931-1932
osu.32435023367212,1933,SE,serial,serial,,Field and stream.,v.38May-Oct 1933
iau.31858027038995,1933,SE,serial,serial,,Field and stream.,v.37 May 1932-Apr. 1933
mdp.39015079965474,1933,SE,serial,serial,,Field and stream.,v.37 1932-1933
osu.32435023367196,1934,SE,serial,serial,,Field and stream.,v.39May-Oct 1934
iau.31858027039001,1934,SE,serial,serial,,Field and stream.,v.38 May 1933-Apr. 1934
mdp.39015079965326,1934,SE,serial,serial,,Field and stream.,v.38 1933-1934
iau.31858027039019,1935,SE,serial,serial,,Field and stream.,v.39 May 1934-Apr. 1935
mdp.39015077943523,1935,SE,serial,serial,,Field and stream.,v.39 1934/1935
uc1.c2552323,1936,SE,serial,serial,,Field and stream.,v.40 1935  MAY-1936  APR
osu.32435023367162,1936,SE,serial,serial,,Field and stream.,v.41May-Oct 1936
mdp.39015079965318,1936,SE,serial,serial,,Field and stream.,v.40 1935/1936
uc1.c2552324,1937,SE,serial,serial,,Field and stream.,v.41 1936  MAY-1937  APR
osu.32435023367154,1937,SE,serial,serial,,Field and stream.,v.42May-Oct 1937
mdp.39015079965300,1937,SE,serial,serial,,Field and stream.,v.41 1936/1937
uc1.c2552325,1938,SE,serial,serial,,Field and stream.,v.42 (May 1937-Apr 1938)
osu.32435023367121,1938,SE,serial,serial,,Field and stream.,v.43May-Oct 1938
mdp.39015079965292,1938,SE,serial,serial,,Field and stream.,v.42 1937/1938
uc1.c2552326,1939,SE,serial,serial,,Field and stream.,v.43 1938  MAY-1939  APR
osu.32435023367113,1939,SE,serial,serial,,Field and stream.,v.44May-Oct 1939
mdp.39015079965284,1939,SE,serial,serial,,Field and stream.,v.43 1938/1939
uc1.c2552327,1940,SE,serial,serial,,Field and stream.,v.44 1939  MAY-1940  APR
osu.32435023367097,1940,SE,serial,serial,,Field and stream.,v.45May-Oct 1940
mdp.39015079965276,1940,SE,serial,serial,,Field and stream.,v.44 1939/1940
uc1.c2552328,1941,SE,serial,serial,,Field and stream.,v.45 1940  MAY-1941  APR
osu.32435023367089,1941,SE,serial,serial,,Field and stream.,v.46May-Oct 1941
mdp.39015079965268,1941,SE,serial,serial,,Field and stream.,v.45 1940/1941
osu.32435023367063,1942,SE,serial,serial,,Field and stream.,v.47May-Oct 1942
iau.31858027039084,1942,SE,serial,serial,,Field and stream.,v.46 May 1941-Apr. 1942
mdp.39015079965250,1942,SE,serial,serial,,Field and stream.,v.46 1941/1942
uc1.c2552330,1943,SE,serial,serial,,Field and stream.,v.47 1942  MAY-1943  APR
osu.32435023367048,1943,SE,serial,serial,,Field and stream.,v.48May-Oct 1943
mdp.39015079965433,1943,SE,serial,serial,,Field and stream.,v.47 1942/1943
uc1.c2552331,1944,SE,serial,serial,,Field and stream.,v.48 1943  MAY-1944  APR
osu.32435023367022,1944,SE,serial,serial,,Field and stream.,v.49May-Oct 1944
mdp.39015079965441,1944,SE,serial,serial,,Field and stream.,v.48 1943/1944
uc1.c2552332,1945,SE,serial,serial,,Field and stream.,v.49 1944  MAY-1945  APR
osu.32435023367014,1945,SE,serial,serial,,Field and stream.,v.50May-Oct 1945
mdp.39015079965458,1945,SE,serial,serial,,Field and stream.,v.49 1944/1945
osu.32435023366990,1946,SE,serial,serial,,Field and stream.,v.51May-Oct 1946
iau.31858027039126,1946,SE,serial,serial,,Field and stream.,v.50 May 1945-Apr. 1946
uc1.c2552334,1947,SE,serial,serial,,Field and stream.,v.51 1946  MAY-1947  APR
osu.32435023367006,1947,SE,serial,serial,,Field and stream.,v.51Nov-Apr 1946-1947
osu.32435023366974,1947,SE,serial,serial,,Field and stream.,v.52May-Oct 1947
uc1.c2552335,1948,SE,serial,serial,,Field and stream.,v.52 1947  MAY-1948  APR
osu.32435023366982,1948,SE,serial,serial,,Field and stream.,v.52Nov-Apr 1947-1948
osu.32435023366958,1948,SE,serial,serial,,Field and stream.,v.53May-Oct 1948
iau.31858027039159,1948,SE,serial,serial,,Field and stream.,v.53 May-Oct. 1948
osu.32435023366966,1949,SE,serial,serial,,Field and stream.,v.53Nov-Apr 1948-1949
iau.31858027039175,1949,SE,serial,serial,,Field and stream.,v.54 May-Oct. 1949
iau.31858027039167,1949,SE,serial,serial,,Field and stream.,v.53 Nov. 1948-Apr. 1949
uc1.c2552337,1950,SE,serial,serial,,Field and stream.,v.54 (May 1949-Apr 1950)
osu.32435023366925,1950,SE,serial,serial,,Field and stream.,v.55May-Oct 1950
iau.31858027039183,1950,SE,serial,serial,,Field and stream.,v.54 Nov. 1949-Apr. 1950
uc1.c2552338,1951,SE,serial,serial,,Field and stream.,v.55 1950  MAY-1951  APR
osu.32435023366933,1951,SE,serial,serial,,Field and stream.,v.55Nov-Apr 1950-1951
osu.32435023366909,1951,SE,serial,serial,,Field and stream.,v.56May-Oct 1951
iau.31858027039209,1951,SE,serial,serial,,Field and stream.,v.55 Nov. 1950-Apr. 1951
uc1.c2552339,1952,SE,serial,serial,,Field and stream.,v.56 (May 1951-Apr 1952)
osu.32435023366917,1952,SE,serial,serial,,Field and stream.,v.56Nov-Apr 1951-1952
osu.32435023366883,1952,SE,serial,serial,,Field and stream.,v.57May-Oct 1952
iau.31858027039225,1952,SE,serial,serial,,Field and stream.,v.57 May-Oct. 1952
uc1.c2552340,1953,SE,serial,serial,,Field and stream.,v.57 1952  MAY-1953  APR
osu.32435023366891,1953,SE,serial,serial,,Field and stream.,v.57Nov-Apr 1952-1953
osu.32435053092144,1953,SE,serial,serial,,Field and stream.,v.58June 1953
iau.31858027039233,1953,SE,serial,serial,,Field and stream.,v.57 Nov. 1952-Apr. 1953
