htid,year,bib_fmt,stratum,title,description
mdp.39076005592055,1972,BK,book,Du Pont--the story of a company town / by May G. Munyan. Introd. by Frank L. Green.,
mdp.39015010681297,1942,BK,book,Du Pont; one hundred and forty years / by William S. Dutton.,
mdp.39015077928805,1942,BK,book,Du Pont; one hundred and forty years / by William S. Dutton.,
wu.89059301747,1942,BK,book,Du Pont; one hundred and forty years / by William S. Dutton.,
pst.000050817870,1942,BK,book,Du Pont; one hundred and forty years / by William S. Dutton.,
coo.31924002464042,1951,BK,book,Du Pont; one hundred and forty years.,
uva.x004623169,1967,BK,book,"Dupont Circle, Washington, D.C., by George J. Olszewski.",
uiug.30112000643640,1952,BK,book,"Dupont, the autobiography of an American enterprise.",
mdp.39015004068675,1966,BK,book,"Earthly paradise; an autobiography / drawn from her lifetime writings by Robert Phelps. Translated by Herma Briffault, Derek Coltman, and others.",
mdp.39015011239970,1966,BK,book,"Earthly paradise; an autobiography / drawn from her lifetime writings by Robert Phelps. Translated by Herma Briffault, Derek Coltman, and others.",
uc1.31822008702953,1979,BK,book,"Ecology and growth of juvenile California spiny lobster, 'Panulirus interruptus' (Randall) / by John Marlin Engle",
uva.x001176364,1938,BK,book,Ed McGivern's book on fast and fancy revolver shooting and police training.,
mdp.39015007901021,1968,BK,book,Edgard Varèse / Translated from the French by Derek Coltman.,
pst.000031636049,1970,BK,book,Effective speaking : a complete course / [by] Arthur N. Kruger.,
uc1.x30835,1971,BK,book,Effects of electrode alignment of a Pierce gun on its current distribution.,
msu.31293100632235,1979,BK,book,Effects of modern technology on firearms identification / by Terrance A. LaVoy.,
uc1.31210018662138,1979,BK,book,"Effects of point-source discharges and other inputs on water quality in Budd Inlet, Washington / by Dan M. Kruger.",
uc1.31822010662419,1979,BK,book,Eleatic and Platonic semantics / by Eve Anne Browning,
uiug.30112089512211,1949,BK,book,Electron guns for an 80 mev. synchrotron / [by] J.M. Lafferty and H.C. Pollock.,
mdp.49015000999921,1972,BK,book,Elizabeth Barrett Browning / by Virginia L. Radley.,
inu.30000011901216,1952,BK,book,"Elizabeth Barrett Browning, a life.",
mdp.39015008883749,1952,BK,book,"Elizabeth Barrett Browning, a life.",
uc1.b3553520,1973,BK,book,"Elizabeth Barrett and the ""Centurion"" : the background to an addition to the Elizabeth Barrett Browning canon / by Robert W. Gladish",
uc1.b4105488,1955,BK,book,Elizabeth Barrett to Mr. Boyd; unpublished letters of Elizabeth Barrett Browning to Hugh Stuart Boyd. Introduced and edited by Barbara P. McCarthy.,
uc1.31822043192152,1936,BK,book,"Ellen Browning Scripps, 1836-1936",
mdp.39015076386500,1959,BK,book,"Ellen Browning Scripps, woman of vision.",
mdp.39015025921902,1964,BK,book,"En souvenir: the Du Pont family during an era of transition, 1763-1826.",
uc1.31822007555758,1959,BK,book,"Encyclopaedia of modern firearms, parts & assembly. Editor and publisher: F. R. ""Bob"" Brownell. Technical measurements: Wayne Fleming. Original art and photography: James B. Meek. Editorial assistants: Louis M. Brownell [and] Frank R. Brownell, III.",v.1
uc1.b4476075,1964,BK,book,Encyclopedia of firearms / edited by Harold L. Peterson,
mdp.39015015428207,1964,BK,book,Encyclopedia of firearms / edited by Harold L. Peterson,
coo.31924014066348,1945,BK,book,"English domestic needlework of the XVI, XVII, and XVIII centuries, by Preston Remington, curator of renaissance and modern art.",
uc1.c038621633,1938,BK,book,English pistols and revolvers; an historical outline of the development and design of English hand firearms from the seventeenth century to the present day.,
uc1.31158006479538,1973,BK,book,English poetry from Blake to Browning.,
mdp.39015011369173,1954,BK,book,"English, Irish, and Scottish firearms makers : when, where, and what they made, from the middle of the sixteenth century to the end of the nineteenth century.",
uc1.b4147851,1974,BK,book,"Environmental steel; pollution in the iron and steel industry, researched and written by James S. Cannon. Edited by Jean M. Halloran. Assisted by Joseph Adams. Advisors: Alice Tepper Marlin [and] Stephen Moody.",
uc1.x28766,1966,BK,book,Enzymic browning in peaches.,
mdp.39015070517985,1955,BK,book,European firearms / by J. F. Hayward.,
mdp.39015035564148,1970,BK,book,Every man heart lay down / by Lorenz Graham. Pictures by Colleen Browning.,
uc1.31822025848912,1966,BK,book,Excavation of two northwestern California coastal sites / Albert B. Elsasser and Robert F. Heizer.  The Pistol River site of Southwest Oregon / Eugene Heflin,
dul1.ark:/13960/s2gfw530xnn,1962,BK,book,"Excavations at Nessana [conducted by Harris Dunscombe Colt, Jr.]",III
dul1.ark:/13960/s2m2fwd2fhd,1962,BK,book,"Excavations at Nessana [conducted by Harris Dunscombe Colt, Jr.]",II
dul1.ark:/13960/s2b4tpq0rmp,1962,BK,book,"Excavations at Nessana [conducted by Harris Dunscombe Colt, Jr.]",I
mdp.39015010705179,1962,BK,book,"Excavations at Nessana [conducted by Harris Dunscombe Colt, Jr.]",P.Ness. II
uiug.30112106774752,1966,BK,book,Experimental and theoretical performance of coaxial plasma guns / Charles J. Michels and Albert E. Johansen.,v.3469
uc1.31175027796518,1976,BK,book,Experimental facilities for the conduct of bioassay and growth studies for fish and other aquatic animals / by John Colt and George Tchobanoglous.,
mdp.39015015178323,1980,BK,book,"Experimental organic chemistry / H. Dupont Durst, George W. Gokel.",
wu.89038762522,1972,BK,book,Experiments and principles of systems engineering. Edited by Marlin H. Mickle [and others],
uc1.$b74136,1938,BK,book,"Exterior ballistics; a reprint of chapter x, Exterior ballistics, and chapter XII, Bombing from airplanes, from Elements of ordnance, prepared under the direction of Lieutenant Colonel Thomas J. Hayes ...",
uc1.c2944481,1962,BK,book,External control of xenon induced flux oscillations in nuclear reactors / by Gary Marlin Sandquist.,
coo.31924003615907,1971,BK,book,Factors affecting the browning of Tren (apple juice-egg drink),
pst.000004329527,1977,BK,book,"Favorite Vermont ski inns & lodging guide / Janet Colter, Rudyard Colter ; illustrated by Janet Colter.",
uc1.31210001704426,1939,BK,book,"Federal military intervention in civil disturbances, by Marlin S. Reichley.",
umn.31951000011629i,1979,BK,book,Financial management for the hospitality industry / Michael M. Coltman.,
coo.31924020578518,1935,BK,book,"Fine French and English furniture; important bronzes: a Houdin ""Sabine"" bust, Rodin & Barye works, three Remington equestrian groups, sold by order of the noted explorer Harold McCracken.  Valuable Brussels and Aubusson tapestries ... property of the estate of the late Emma Rockefeller McAlpin ... C",
mdp.39076000771852,1977,BK,book,"Fine arms from Tula : firearms and edged weapons in the Hermitage, Leningrad / [compiled and with introduction by Valentin Mavrodin ; photos. by Valery Priymenko ; translated from the Russian by Rostislav Drapkin]",
mdp.39015004182716,1977,BK,book,Firearm abuse : a research and policy report / by Steven Brill.,
mdp.39015071254984,1969,BK,book,"Firearms & self-defense : a handbook for radicals, revolutionaries and easy riders / Intl. Liberation School.",
mdp.39015010694662,1955,BK,book,Firearms curiosa / by Lewis Winant.,
pst.000008941534,1968,BK,book,Firearms in England in the fourteenth century. / Introd. by Claude Blair.,
umn.319510009355184,1953,BK,book,Firearms of yesterday.,
mdp.39015019140329,1976,BK,book,"Firearms on the frontier : guns at Fort Michilimackinac, 1715-1781 / by T. M. Hamilton.",
inu.30000001696586,1967,BK,book,"Firearms, traps, & tools of the mountain men [by] Carl P. Russell.",
uc1.b4497536,1967,BK,book,"Firearms, traps, & tools of the mountain men [by] Carl P. Russell.",
inu.30000084069529,1961,BK,book,"First three wagon trains: to California, 184l, to Oregon, 1842, to Washington, 1853, by John Bidwell, Hubert Howe Bancroft [and] James Longmire. Pictures by Frederic Remington and others.",
uva.35007000986434,1980,BK,book,"Fisheries of the North Pacific : history, species gear & processes / by Robert J. Browning ; with editorial assistance and review by Bruce J. Cole ... [et al.]",
mdp.39076006485978,1974,BK,book,"Fisheries of the North Pacific: history, species, gear & processes / by Robert J. Browning. With editorial assistance and review by Dayton L. Alverson [and others.",
mdp.39015015683827,1965,BK,book,"Five artists of the Old West: George Catlin, Karl Bodmer, Alfred Jacob Miller, Charles M. Russell [and] Frederic Remington / by Clide Hollmann. With reproductions of the artists' paintings.",
mdp.39015000519051,1974,BK,book,"Flannery O'Connor / [by] Preston M. Browning, Jr. With a pref. by Harry T. Moore.",
mdp.39015002150657,1974,BK,book,"Flannery O'Connor / [by] Preston M. Browning, Jr. With a pref. by Harry T. Moore.",
mdp.39015030733912,1932,BK,book,Flesh of the wild ox; a Riffian chronicle of high valleys and long rifles / by Carleton Stevens Coon; with a foreword by Earnest Albert Hooton ; and illustrated by Ruth Reeves.,
uc1.$b56409,1932,BK,book,Flesh of the wild ox; a Riffian chronicle of high valleys and long rifles / by Carleton Stevens Coon; with a foreword by Earnest Albert Hooton ; and illustrated by Ruth Reeves.,
uc1.31970029595177,1980,BK,book,"Food habits of California upland game birds / by William E. Grenfell, Bruce M. Browning, and Walter E. Stienecker",
uc1.c2870891,1952,BK,book,Foraminifera from the Upper Santa Susana shale / by John Leverett Browning.,
mdp.39015005010072,1965,BK,book,Forever in joy : the life of Robert Browning / by Rosemary Sprague.,
mdp.39015024455571,1940,BK,book,"Forty years with Russians / by Ethan T. Colton, foreword by John R. Mott.",
uiug.30112106772418,1968,BK,book,Fossil marine mammals from the Miocene Calvert Formation of Maryland and Virginia / Remington Kellogg.,v.1 (Part 1-2)
uiug.30112106772426,1968,BK,book,Fossil marine mammals from the Miocene Calvert Formation of Maryland and Virginia / Remington Kellogg.,v.2 (Part 3-4)
uiug.30112106772434,1968,BK,book,Fossil marine mammals from the Miocene Calvert Formation of Maryland and Virginia / Remington Kellogg.,v.3 (Part 5-8)
osu.32435029595618,1968,BK,book,Fossil marine mammals from the Miocene Calvert Formation of Maryland and Virginia / Remington Kellogg.,no.247 1965-1968
osu.32435075234617,1968,BK,book,Fossil marine mammals from the Miocene Calvert Formation of Maryland and Virginia / Remington Kellogg.,no.247pt.1-8 1965-1968
umn.31951001068076w,1978,BK,book,Four experiments on underlining as a review aid for college students / by William Graham Browning.,
uva.x000016062,1979,BK,book,"Foxfire 5 : ironmaking, blacksmithing, flintlock rifles, bear hunting, and other affairs of plain living / edited with an introd. by Eliot Wigginton.",
inu.39000005756890,1979,BK,book,"Foxfire 5 : ironmaking, blacksmithing, flintlock rifles, bear hunting, and other affairs of plain living / edited with an introd. by Eliot Wigginton.",
mdp.39015066068779,1979,BK,book,"Foxfire 5 : ironmaking, blacksmithing, flintlock rifles, bear hunting, and other affairs of plain living / edited with an introd. by Eliot Wigginton.",
uc1.$b362852,1947,BK,book,"Frederic Remington : (bibliographical check list) and more fact and fiction of the old West and the wild West / Mannados Bookshop, E. W. Latendorf.",
txu.059173023505317,1971,BK,book,Frederic Remington and the Spanish-American War.,
mdp.39015033270995,1971,BK,book,Frederic Remington and the Spanish-American War.,
mdp.39015011680801,1978,BK,book,Frederic Remington and the West : with the eye of the mind / by Ben Merchant Vorpahl.,
mdp.39015017652374,1960,BK,book,Frederic Remington's own West / written and illustrated by Frederic Remington ; edited and with an introduction by Harold McCracken.,
uva.x000610135,1960,BK,book,Frederic Remington's own West / written and illustrated by Frederic Remington ; edited and with an introduction by Harold McCracken.,
uc1.$b362851,1943,BK,book,"Frederic Remington, a painter of American life ...",
wu.89086115052,1947,BK,book,"Frederic Remington, artist of the Old West : with a bibliographical check list of Remington pictures and books, Introd. by James Chillman, Jr.",
uva.x001045959,1947,BK,book,"Frederic Remington, artist of the Old West;",
uc1.31822006017578,1947,BK,book,"Frederic Remington, artist of the Old West; with a bibliographical check list of Remington pictures and books.  Introd. by James Chillman, Jr",
mdp.49015002662279,1978,BK,book,"Frederic Remington, the American West : an official publication of the American Museum of Natural History / selected and edited by Philip R. St. Clair.",
uc1.31822013295936,1973,BK,book,"Frederic Remington; an essay and catalogue to accompany a retrospective exhibition of the work of Frederic Remington, by Peter H. Hassrick",
mdp.39015014426111,1943,BK,book,"Frederic, Remington, a painter of American life.",
wu.89050668078,1943,BK,book,"Frederic, Remington, a painter of American life.",
mdp.39015008468681,1978,BK,book,"From flintlock to rifle : infantry tactics, 1740-1866 / Steven Ross.",
uva.x000141839,1976,BK,book,From the earth to the moon = The Baltimore gun club / from the French of Jules Verne ; freely translated by Edward Roth.,
cub.u183073495541,1955,BK,book,Fur bearers of Colorado / by Jack D. Remington.,
uva.x006119456,1977,BK,book,G. Ruger Donoho (1857-1916) : a retrospective exhibition.,
mdp.39015081362892,1951,BK,book,GUNS OVER THE BORDER: AMERICAN AID TO THE JUAREZ GOVERNMENT DURING THE FRENCH INTERVENTION.,
wu.89066147554,1979,BK,book,"Gardner and allied families : Brown, Carson, Clyburn, Du Pont, Guerri, Guild, Ingram, Knight, Michau, Ogburn, Plyler, Rembert, Wells, Welsh / by William Leonard Gardner.",
mdp.39015008805858,1971,BK,book,Gates to Asia: a diary from a long journey / [by] Jan Myrdal and Gun Kessle. Translated from the Swedish by Paul Britten Austin.,
nyp.33433085501074,1962,BK,book,Genealogy of the Trainer-Booth families / compiled by Caroline Okie Browning Trainer.,
nyp.33433068135056,1943,BK,book,"Genealogy of the du Pont family, 1739-1949.",v. 1
nyp.33433068135064,1943,BK,book,"Genealogy of the du Pont family, 1739-1949.",v. 2
mdp.39015039699908,1933,BK,book,"General synopsis of treaties of arbitration, conciliation, judicial settlement, security and disarmament, actually in force between countries invited to the disarmament conference / by Francis Colt De Wolf.",
uc1.b4385924,1973,BK,book,"Generative man: psychoanalytic perspectives, by Don S. Browning.",
mdp.39015002646928,1973,BK,book,"Generative man: psychoanalytic perspectives, by Don S. Browning.",
mdp.39015003826180,1973,BK,book,"Generative man: psychoanalytic perspectives, by Don S. Browning.",
wu.89031195688,1977,BK,book,Genetics : a survey of the principles of heredity / A. M. Winchester.,
mdp.39015000286248,1972,BK,book,Genetics: a survey of the principles of heredity / [by] A. M. Winchester.,
mdp.39015015217717,1966,BK,book,Genetics; a survey of the principles of heredity / [by] A.M. Winchester.,
uva.x000486828,1951,BK,book,"Gentlemen, swords and pistols.",
uc1.b3898510,1951,BK,book,"Gentlemen, swords and pistols.",
pst.000002347028,1969,BK,book,German aircraft guns and cannons / by E. J. Hoffschmidt.,
mdp.39015008508114,1971,BK,book,"German baroque poetry, 1618-1723 / [by] Robert M. Browning.",
mdp.39015002282245,1978,BK,book,German poetry in the Age of the Enlightenment : from Brockes to Klopstock / Robert M. Browning.,
uva.x000164118,1978,BK,book,German poetry in the Age of the Enlightenment : from Brockes to Klopstock / Robert M. Browning.,
uc1.b4951487,1978,BK,book,German poetry in the Age of the Enlightenment : from Brockes to Klopstock / Robert M. Browning.,
mdp.49015002379932,1979,BK,book,"Giving up the gun : Japan's reversion to the sword, 1543-1879 / Noel Perrin.",
mdp.39015001803108,1979,BK,book,"Giving up the gun : Japan's reversion to the sword, 1543-1879 / Noel Perrin.",
mdp.39015063185873,1941,BK,book,"Glory, glory, hallelujah! / by Irvin S. Cobb ; illustrated by F.R. Gruger.",
uc1.$b248909,1941,BK,book,"Glory, glory, hallelujah! / by Irvin S. Cobb ; illustrated by F.R. Gruger.",
uc1.31175005434124,1980,BK,book,"Gnomic poetry in Anglo-Saxon / edited with introduction, notes and glossary by Blanche Colton Williams.",
cub.u183046196768,1942,BK,book,Gold and guns on Halfaday creek / by James B. Hendryx. Bar-H books.,
uc1.b4499993,1946,BK,book,"Good shot! A book of rod, gun, and camera, by Bob, Dan & Ray Holland.",
mdp.39015015665162,1979,BK,book,Gothic painting / text by Jacques Dupont and Cesare Gnudi ; [translated by Stuart Gilbert].,
mdp.39015000960156,1940,BK,book,"Graphs, how to make and use them / by Herbert Arkin and Raymond R. Colton.",
uc1.$b546137,1936,BK,book,"Graphs, how to make and use them, by Herbert Arkin ... and Raymond R. Colton ...",
mdp.39015068103038,1936,BK,book,"Graphs, how to make and use them, by Herbert Arkin ... and Raymond R. Colton ...",
pur1.32754064364486,1961,BK,book,"Great American guns and frontier fighters, written and illustrated by Will Bryant.",
mdp.39015030932209,1933,BK,book,"Great American short stories : O. Henry Memorial Prize winning stories, 1919-1932 / with an introduction by Blanche Colton Williams.",
osu.32435005211867,1944,BK,book,Gringo Guns / by Peter Field.,
uiug.30112029043384,1972,BK,book,"Guide for municipal zoning administration, with forms, by R. Marlin Smith, Clyde W. Forrest and Eric C. Freund.",
uiug.30112067705183,1980,BK,book,Guide to Illinois firearm data / by Carolyn Rebecca Block.,
wu.89066144783,1979,BK,book,"Gumption : being a genealogical and historical perspective of the ancestors of Howard Remington Furman, Sr. / [compiled by Howard Remington Furman, Jr.]",
uc1.$b27079,1943,BK,book,"Gun care and repair, a manual of gunsmithing, by Charles Edward Chapel...",
uc1.$b272373,1939,BK,book,"Gun collecting, by Charles Edward Chapel.",
uva.x000661828,1939,BK,book,"Gun collecting, by Charles Edward Chapel.",
nyp.33433006952059,1954,BK,book,Gun collectors guide: old guns for profit; complete guide to antique gun collecting.,
mdp.39015000698442,1973,BK,book,Gun control / [by] Robert J. Kukla. Edited by Harlon B. Carter.,
mdp.39015002602905,1976,BK,book,Gun control.,no.9
uc1.31175001102725,1961,BK,book,"Gun digest treasury; the best of the Gun Digest from 1945 to 1960, top selections from the first fifteen years. Edited by John T. Amber.",
pst.000032460780,1961,BK,book,"Gun dog, revolutionary rapid training method. / Foreword by John W. Randolph. Pictures by Joan Sydlow.",
uc1.b4408662,1964,BK,book,"Gun drilling and trepanning; a practical and intensive treatment of the tools, machines, processes, and related elements in the precision machining of deep holes. Prepared under the supervision of National Technical Publications Committee, American Society of Tool and Manufacturing Engineers. Frank ",
uc1.b3636016,1931,BK,book,"Gun notches; the life story of a cowboy-soldier, by Captain Thomas H. Rynning, as told to Al Cohn and Joe Chisholm; with a foreword by Rupert Hughes.",
mdp.39015027934960,1931,BK,book,"Gun notches; the life story of a cowboy-soldier, by Captain Thomas H. Rynning, as told to Al Cohn and Joe Chisholm; with a foreword by Rupert Hughes.",
osu.32435057556409,1948,BK,book,Gun smoke yarns / selected by Gene Autry.,
mdp.49015000207663,1976,BK,book,"Gun tracing systems study report / submitted by Search Group, inc.",
cub.p101151712003,1935,BK,book,Gun trouble / [by] James Marshall.,
iau.31858023973310,1934,BK,book,"Gun-shy, a comedy in three acts, by Holmer Little and Myla Jo Closser.",
uiug.30112113375957,1943,BK,book,"Gunnerman's gold; memories of fifty years afield with a scatter gun, by Horatio Bigelow, with an introduction by Nash Buckingham.",
osu.32435011728995,1961,BK,book,Guns ; the story behind the Nunnemacher collection.,
cub.p101011916066,1942,BK,book,Guns against the snow : a play in one act / by Harold Mers.,
uva.x001201416,1980,BK,book,"Guns and gunmaking tools of Southern Appalachia : the story of the Kentucky rifle : a history of the guns and gunmaking tools at the Museum of Appalachia, Norris, Tennessee / by John Rice Irwin.",
mdp.39015064562179,1945,BK,book,Guns and gunning / [by] Captain Paul A. Curtis.,
uc1.c3164202,1971,BK,book,"Guns and hunting supplies; shotguns, rifles, pistols, revolvers, rifle sights, traps and birds, gun implements, gun cases, shooting clothing. John P. Lovell Arms Co., 1890, illustrated catalog and historical introduction.",
mdp.39015027418253,1970,BK,book,Guns and rubles; Soviet aid diplomacy in neutral Asia / by Stephen P. Gibert and Wynfred Joshua.,
nyp.33433044118085,1962,BK,book,Guns and shooting.,
uc1.b3180936,1979,BK,book,Guns at the forks / Walter O'Meara.,
uva.x000275623,1965,BK,book,Guns at the forks.,
nyp.33433044990178,1961,BK,book,Guns for General Washington. Drawings by Leonard Vosburgh.,
wu.89100006469,1945,BK,book,"Guns for Tito, by Major Louis Huot.",
mdp.39015024082441,1963,BK,book,Guns in the heather / by Lockhart Amerman.,
osu.32435055410658,1938,BK,book,Guns in the valley / William Byron Mowery.,
uc1.$b106075,1939,BK,book,"Guns of Burgoyne, by Bruce Lancaster.",
mdp.39015074200463,1964,BK,book,Guns of the regressive right; the only reconstruction of the Kennedy assassination that makes sense / by Morris A. Bealle.,
uc1.31210017256460,1975,BK,book,Guns off Gloucester / Joseph E. Garland.,
osu.32435055409031,1943,BK,book,Guns on the Cimarron.,
mdp.39015027222127,1957,BK,book,Guns on the early frontiers; a history of firearms from colonial times through the years of the Western fur trade.,
inu.30000005092246,1957,BK,book,Guns on the early frontiers; a history of firearms from colonial times through the years of the Western fur trade.,
uc1.$b42566,1938,BK,book,"Guns or butter, by R. H. Bruce Lockhart.",
wu.89094803756,1938,BK,book,"Guns or butter, by R. H. Bruce Lockhart.",
mdp.39015023070512,1938,BK,book,"Guns or butter, by R. H. Bruce Lockhart.",
mdp.39076002597693,1946,BK,book,Guns over Champlain / Leon W. Dean.,
uc1.$b105649,1949,BK,book,Guns wanted; with illus. by A.M. Hughes.,
inu.39000002948169,1978,BK,book,"Guns, gold, and caravans : the extraordinary life and times of Fred Meyer Schroder, frontiersman and soldier of fortune, in California, Mexico, Alaska and China, including his discovery of the mysterious pyramids of Shensi and rescue of the boy emperor / by Robert Easton.",
uva.x000790186,1966,BK,book,"Guns, sails and empires; technological innovation and the early phases of European expansion, 1400-1700 [by] Carlo M. Cipolla.",
umn.31951p00977790s,1963,BK,book,"Gunsmithing ; a manual of firearms design, construction, alteraration, and remodeling / For amateur and professional gunsmiths and users of modern firearms. Drawings by Paul Webb.",
uc1.32106010257621,1976,BK,book,HDC recommendations submitted to the City of Santa Cruz Housing Advisory Committee / prepared by Scott Coltrane.,
uiug.30112088952277,1955,BK,book,"Handbook of favorite dances, compiled and arranged by Ed and Elsie Bossing. Illus. by Frank Colton.",
coo.31924009728910,1940,BK,book,"Handbook of northern Arizona pottery wares, by Harold Sellers Colton and Lyndon Lane Hargrave. Supplement no. 1.  Colored plates of San Juan red ware and Tsegi orange ware, by Virgil Hubert.",
coo.31924090189279,1978,BK,book,He saw a hummingbird / Norma Lee Browning and Russell Ogg.,
uc1.x14355,1979,BK,book,High pressure liquid chromatographic separation of amadori compounds in model maillard browning systems.,
wu.89067597054,1975,BK,book,"History of Winchester, Massachusetts / Henry Smith Chapman ; drawings by W. H. W. Bicknell.",v.2
wu.89067597062,1975,BK,book,"History of Winchester, Massachusetts / Henry Smith Chapman ; drawings by W. H. W. Bicknell.",v.1
wu.89066035627,1965,BK,book,"History of the 8th Machine Gun Battalion, 5th Brigade, 3rd Infantry Division, by W. G. Weaver.",
mdp.39015024087283,1970,BK,book,Hoagie's rifle-gun / Illustrated by John Schoenherr.,
ien.35556006727671,1976,BK,book,Homage to Robert Browning / by Aleph Tanner.,
pst.000029469376,1969,BK,book,Home gun care & repair / by Parker O. Ackley.,
coo.31924001677909,1979,BK,book,Homotopy types of certain finite cw-complexes with finite fundamental group / by Wesley James Browning.,
wu.89075350926,1938,BK,book,"Hoofbeats : drawings and comments / by Warren T. Halpin. Introductions: Polo, by Stewart B. Iglehart; Hunting, by Henry G. Vaughan; Steeplechasing, by William Du Pont, Jr.",
pst.000027594711,1978,BK,book,Hospitality management accounting / Michael M. Coltman.,
cub.u183001047819,1954,BK,book,How do I love thee? / by Norman Dello Joio ; text adapted from the poem by Elizabeth B. Browning.,
mdp.39015027614299,1953,BK,book,How do I love thee? The story of Elizabeth Barrett Browning.,
uc1.b4098777,1953,BK,book,How do I love thee? The story of Elizabeth Barrett Browning.,
uc1.31210005077431,1950,BK,book,How the Du Pont organization appraises its performance:,
pst.000007765865,1973,BK,book,How to rob a bank without a gun.,
uc1.$b220466,1972,BK,book,How to select/use/troubleshoot cassette and cartridge recorders [by] Murray P. Rosenthal.,
umn.31951000516885c,1960,BK,book,"How to shoot a movie story : technique of pictorial continuity / Arthur L. Gaskill, David A. Englander ; photos & drawings by Irving Levine ; additional pictures by David A. Marlin.",
mdp.39015025542559,1970,BK,book,How to shoot a movie story; technique of pictorial continuity / [by] Arthur L. Gaskill [and] David A. Englander. Photos & drawings by Irving Levine; additional pictures by David A. Marlin.,
uiug.30112050053823,1959,BK,book,How to shoot a movie story; technique of pictorial continuity [by] Arthur L. Gaskill [and] David A. Englander. Photos. & drawings by Irving Levine; additional pictures by David A. Marlin.,
mdp.39015018098668,1979,BK,book,"How to train singers : featuring illustrated ""natural"" techniques and exercises / Larra Browning Henderson.",
mdp.39015041886733,1971,BK,book,Human genetics / A. M. Winchester.,
mdp.39015004323401,1975,BK,book,Human genetics / A. M. Winchester.,
mdp.39015001651408,1973,BK,book,Human sexuality: nursing implications / Compiled by Mary H. Browning and Edith P. Lewis.,
umn.31951p008694842,1946,BK,book,Hunting small game with shotgun and rifle.,
mdp.49015003002467,1977,BK,book,Hunting the uplands with shotgun and rifle / Luther A. Anderson.,
mdp.39015002054792,1968,BK,book,"Hurricanes, storms, tornadoes / [by] James H. Winchester.",
uc1.x28806,1966,BK,book,Hydroxymethylfurfural and furfural browning in sulfured and unsulfured fruit products.,
mdp.39015074395412,1954,BK,book,I escaped the Red guns / by Mia Mueller brown ; translated from the German and edited by Josefa H. Schwedler.,
uva.x000174079,1980,BK,book,"Images of the past : a photographic review of Winchester and Frederick County, Virginia / photos selected and researched by Michael Foreman ... [et al.].",
mdp.39015000796865,1976,BK,book,Immunobiology of bone marrow transplantation / edited by Bo Dupont and Robert A. Good.,
uc1.c3529759,1977,BK,book,Impacts and demand responses of selected traffic management strategies / A.J. Kruger.,v.1
uc1.c3529760,1977,BK,book,Impacts and demand responses of selected traffic management strategies / A.J. Kruger.,v.2
wu.89097634513,1935,BK,book,In desert and wilderness / by Henryk Sienkiewicz ; translated from the Polish by Max A. Drezmal ; with illustrations by Remington Schuyler.,
mdp.39015069745704,1965,BK,book,"In the United States Court of Appeals, United States of America, plaintiff and respondent, v.David Browning, defendant and appellant, no. 19876. Appellant's opening brief: appeal from judgment of the United States District Court, Honorable Bruce H. Thompson, judge. James R. White III, court appointe",
wu.89042085282,1972,BK,book,In the marketplace; consumerism in America. Edited by editors of Ramparts with Frank Browning.,
umn.319510000162728,1972,BK,book,In the marketplace; consumerism in America. Edited by editors of Ramparts with Frank Browning.,
mdp.39015014426129,1961,BK,book,"Inaugural exhibition, January 21, 1961 Selected works [of] Frederic Remington and Charles Marion Russell.",
mdp.39015036875162,1974,BK,book,Index to 8mm motion cartridges.,
uc1.$b117275,1938,BK,book,"Indian hunting grounds, by Caroline D. Emerson; drawings by Remington Schuyler.",
mdp.39015004198225,1941,BK,book,"Indian-fighting army / [by] Fairfax Downey, illustrated from drawings by Frederic Remington, Charles Schreyvogel and R. F. Zogbaum.",
buf.39072022051035,1966,BK,book,Individual weapons and marksmanship.,
mdp.39015000309388,1980,BK,book,"Infections of the gastrointestinal tract : microbiology, pathophysiology, and clinical features / Herbert L. DuPont and Larry K. Pickering.",
uc1.b4333525,1976,BK,book,Infectious diseases of the fetus and newborn infant / edited by Jack S. Remington and Jerome O. Klein,
mdp.39015000266018,1976,BK,book,Infectious diseases of the fetus and newborn infant / edited by Jack S. Remington and Jerome O. Klein,
uc1.x30537,1971,BK,book,Influence of the browning reaction on the availability of amino acids to microorganisms.,
mdp.49015000142035,1973,BK,book,Instructor's manual to accompany methods of social research by Kenneth D. Bailey / Jill Kiecolt.,
mdp.39015003436246,1973,BK,book,Instrumentation in applied nuclear chemistry / Edited by Jan Krugers. Contributors: Joel B. Ayers [and others],
coo.31924004702647,1962,BK,book,"Instrumentation scale-up from laboratory to pilot plant to production : proceedings of the 1962 symposium, April 9-10, 1962, Du Pont Country Club, Wilmington, Delaware / sponsored by Instrument Society of America, Wilmington Section.",
mdp.39015035214801,1977,BK,book,Integral operator methods in the theory of wave propagation and heat conduction / by David Colton.,
uiug.30112101465380,1978,BK,book,"Interim report, September 25, 1978 / principal investigator, Richard D. Remington.",
mdp.39015026529340,1979,BK,book,"Interior ballistics of guns / edited by Herman Krier, Martin Summerfield.",
mdp.39015035742488,1979,BK,book,"Interior ballistics of guns / edited by Herman Krier, Martin Summerfield.",
uc1.b4140525,1968,BK,book,Interior ballistics; how a gun converts chemical energy into projectile motion [by] E. D. Lowry.,
uc1.x30346,1969,BK,book,Internal browning of Thompson seedless grapes as influenced by growth regulator treatment and storage.,
