htid,year,stratum,title,reason
mdp.39015026651730,1965,book,"""I saw you from afar""; a visit to the Bushmen of the Kalahari Desert / [by] Carol Morse Perkins and Marlin Perkins.",book: brand name with no gun context (poet/painter/place/horse)
uc1.$b326480,1965,book,"""I saw you from afar""; a visit to the Bushmen of the Kalahari Desert / [by] Carol Morse Perkins and Marlin Perkins.",book: brand name with no gun context (poet/painter/place/horse)
coo.31924002886079,1953,book,1. Some factors for the development of color in potato chips. 2. Some observations on the browning reaction at a relatively extreme temperature.,book: brand name with no gun context (poet/painter/place/horse)
uc1.b3179423,1978,book,"20th-century foreign women writers / Martha O'Nan, ed. ; articles by Evelyne Accad ... [et al.] ; poems by Edith Södergran, Barbara Clarke Mossberg.",book: brand name with no gun context (poet/painter/place/horse)
uiug.30112029124283,1959,book,"4 from the circle : short stories and poems : reprinted from Der Kreis (The Circle), Zurich / original drawings by J. Colton.",book: no firearm word or gun-context brand in title
mdp.39015030947769,1974,book,A Browning calendar / edited by Constance M. Spender.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015024865670,1935,book,A Browning handbook / by William Clyde DeVane.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015000225733,1955,book,A Browning handbook.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015002240292,1955,book,A Browning handbook.,book: brand name with no gun context (poet/painter/place/horse)
uc1.b3489664,1955,book,A Browning handbook.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015047545184,1970,book,A Browning primer / With an introd. by F. J. Furnivall.,book: brand name with no gun context (poet/painter/place/horse)
uc1.$b112665,1937,book,"A Christmas book from the Department of English, Hunter College of the city of New York. Edited by Blanche Colton Williams, head of the department.",book: no firearm word or gun-context brand in title
nyp.33433112018134,1937,book,"A Christmas book from the Department of English, Hunter College of the city of New York. Edited by Blanche Colton Williams, head of the department.",book: no firearm word or gun-context brand in title
mdp.39015031307401,1940,book,A Tennyson Browning association book / by J. Christian Bay.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015011819441,1967,book,A bibliography of Elizabeth Barrett Browning.,book: brand name with no gun context (poet/painter/place/horse)
uc1.$b141137,1970,book,"A bibliography of dissertations in geography, 1901 to 1969: American and Canadian universities [by] Clyde E. Browning.",book: brand name with no gun context (poet/painter/place/horse)
uiug.30112106624940,1970,book,"A carbon dioxide reduction unit using Bosch reaction and expendable catalyst cartridges, by R.F. Holmes, E.E. Keller, and C.D. King.",book: no firearm word or gun-context brand in title
inu.32000014447231,1974,book,"A ceremonial cave in the Winchester Mountains, Arizona. [by] William Shirley Fulton.  Dragoon, Arizona, The Amerind Foundation, 1941.",book: brand name with no gun context (poet/painter/place/horse)
dul1.ark:/13960/t3qv6bg3w,1953,book,"A church history, by Charles Jerome Huneycutt; and, A fragmentary history of Pleasant Green Methodist Episcopal Church, South, Durham Circuit, Durham District, North Carolina Conference, by Alan Browning.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015023930590,1964,book,A classified bibliography of argumentation and debate / by Arthur N. Kruger.,book: no firearm word or gun-context brand in title
mdp.39015034563588,1964,book,A classified bibliography of argumentation and debate / by Arthur N. Kruger.,book: no firearm word or gun-context brand in title
uc1.$b680080,1964,book,A classified bibliography of argumentation and debate / by Arthur N. Kruger.,book: no firearm word or gun-context brand in title
uc1.b4456988,1964,book,A classified bibliography of argumentation and debate / by Arthur N. Kruger.,book: no firearm word or gun-context brand in title
mdp.39015004693787,1966,book,A commentary upon Browning's The ring and the book / by A.K. Cook.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015002197740,1966,book,A commentary upon Browning's The ring and the book / by A.K. Cook.,book: brand name with no gun context (poet/painter/place/horse)
mdp.39015004730175,1966,book,A commentary upon Browning's The ring and the book / by A.K. Cook.,book: brand name with no gun context (poet/painter/place/horse)
umn.319510016040689,1966,book,A commentary upon Browning's The ring and the book / by A.K. Cook.,book: brand name with no gun context (poet/painter/place/horse)
uc1.32106001926390,1976,book,"A critical edition of Robert Browning's ""Bishop Blougram's Apology"" / by Frank Charles Allen.",book: brand name with no gun context (poet/painter/place/horse)
uc1.31822011582673,1977,book,A day with Elizabeth Barrett Browning / by May Byron,book: brand name with no gun context (poet/painter/place/horse)
mdp.49015000545575,1970,book,"A deal in wheat, and other stories of the new and old West / Illustrated by Remington [and others] New York, Doubleday, Page, 1903.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015064857389,1942,book,A dramatic arrangement of Browning's Paracelsus.,book: brand name with no gun context (poet/painter/place/horse)
osu.32435021937891,1942,book,A dramatic arrangement of Browning's Paracelsus.,book: brand name with no gun context (poet/painter/place/horse)
ien.35556021319082,1964,book,A framework for balanced transportation planning in metropolitan regions / by Pieter Willem Bingle Kruger.,book: no firearm word or gun-context brand in title
mdp.39015014855665,1967,book,A group of English essayists of the early nineteenth century / by C.T. Winchester.,book: brand name with no gun context (poet/painter/place/horse)
mdp.49015000554353,1967,book,A group of English essayists of the early nineteenth century / by C.T. Winchester.,book: brand name with no gun context (poet/painter/place/horse)
uc1.b4306513,1967,book,A group of English essayists of the early nineteenth century / by C.T. Winchester.,book: brand name with no gun context (poet/painter/place/horse)
uc1.b3970931,1966,book,A guide to reading in American history; the unit approach [by] Herbert Herskowitz and Bernard Marlin.,book: brand name with no gun context (poet/painter/place/horse)
inu.32000007704671,1969,book,A handbook to the works of Robert Browning / by Mrs. Sutherland Orr.,book: brand name with no gun context (poet/painter/place/horse)
uva.x001607978,1947,book,"A history of the Presbytery of Winchester (Synod of Virginia): its rise and growth, ecclesiastical relations, institutions and agencies, churches and ministers, 1719-1945. / Based on official documents. ; By Robert Bell Woodworth, D.Sc.",book: brand name with no gun context (poet/painter/place/horse)
wu.89067534065,1947,book,"A history of the Presbytery of Winchester (Synod of Virginia): its rise and growth, ecclesiastical relations, institutions and agencies, churches and ministers, 1719-1945. / Based on official documents. ; By Robert Bell Woodworth, D.Sc.",book: brand name with no gun context (poet/painter/place/horse)
mdp.39015000063944,1971,book,A history of the modern world / [by] R. R. Palmer [and] Joel Colton.,book: no firearm word or gun-context brand in title
mdp.39015007180493,1965,book,A history of the modern world / by R. R. Palmer and Joel Colton.,book: no firearm word or gun-context brand in title
mdp.39015025029060,1971,book,A history of the modern world since 1815 / [by] R. R. Palmer [and] Joel Colton.,book: no firearm word or gun-context brand in title
wu.89031315195,1970,book,"A horse named Kelso, by Pat Johnson and Walter D. Osborne.  Introd. by Mrs. Richard C. Dupont. Illustrated with Richard Stone Reeves'  paintings.",book: no firearm word or gun-context brand in title
mdp.39015079889120,1967,book,"A list of doctoral dissertations on Australia, covering 1933/34 through 1964/65; Canada, covering 1933/34 through 1964/65; New Zealand, covering 1933/34 through 1964/65 / Compiled by Doris M. Cruger.",book: no firearm word or gun-context brand in title
inu.32000003250869,1971,book,"A phrase book from the poetic and dramatic works of Robert Browning, to which is added an index containing the significant words not elsewhere noted.",book: brand name with no gun context (poet/painter/place/horse)
wu.89001267681,1970,book,"A primer on Browning, by F. Mary Wilson.",book: brand name with no gun context (poet/painter/place/horse)
uva.x000212633,1976,book,A season in the life of Emmanuel / Marie-Claire Blais. Translated from the French by Derek Coltman. Introduction by Edmund Wilson.,book: no firearm word or gun-context brand in title
mdp.39015031305710,1971,book,A study of Browning's The ring and the book / by James Cassidy (E. M. Story),book: brand name with no gun context (poet/painter/place/horse)
umn.31951d01549911a,1978,book,A study of owners of small timber tracts in Louisiana / Clifton B. Marlin.,book: brand name with no gun context (poet/painter/place/horse)
uiug.30112019600730,1978,book,A study of owners of small timber tracts in Louisiana / Clifton B. Marlin.,book: brand name with no gun context (poet/painter/place/horse)
uiug.30112113048893,1979,book,A study of the applicability of batch reactor wastewater treatment for areas of intermittent loading / by James E. Alleman and Joanne S. Colt.,book: brand name with no gun context (poet/painter/place/horse)
umn.31951001986557n,1950,book,A study of the browning of bread on storage.,book: brand name with no gun context (poet/painter/place/horse)
coo.31924004701250,1959,book,A study of the thermionic point filament electron gun.,book: gun word is physics or a personal name
